Tract,Total,Hispanic or Latino,Not Hispanic or Latino,Population of one race,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some Other Race alone,Population of two or more races,Total parcels,Occupied,Vacant,Poverty status determined total,Below poverty level!,Under 5 years,5 to 9 years,10 to 14 years,15 to 19 years,20 to 24 years,25 to 29 years,30 to 34 years,35 to 39 years,40 to 44 years,45 to 49 years,50 to 54 years,55 to 59 years,60 to 64 years,65 to 69 years,70 to 74 years,75 to 79 years,80 to 84 years,85 years and over,Occupied (%),Vacant (%),Hispanic or Latino (%),Not Hispanic or Latino (%),Population of one race (%),White alone (%),Black or African American alone (%),American Indian and Alaska Native alone (%),Asian alone (%),Native Hawaiian and Other Pacific Islander alone (%),Some Other Race alone (%),Population of two or more races (%),Below poverty level (%),Under 5 years (%),5 to 9 years (%),10 to 14 years (%),15 to 19 years (%),20 to 24 years (%),25 to 29 years (%),30 to 34 years (%),35 to 39 years (%),40 to 44 years (%),45 to 49 years (%),50 to 54 years (%),55 to 59 years (%),60 to 64 years (%),65 to 69 years (%),70 to 74 years (%),75 to 79 years (%),80 to 84 years (%),85 years and over (%)
4846,"2,038",44,"1,994","1,907","1,556",297,1,38,0,15,87,3330,2973,357,1758,311,120,35,44,101,90,98,118,86,96,35,154,124,176,108,134,118,30,133,89%,11%,2%,98%,94%,76%,15%,0%,2%,0%,1%,4%,18%,6%,2%,2%,5%,4%,5%,6%,4%,5%,2%,8%,6%,9%,5%,7%,6%,1%,7%
4850,"1,179",37,"1,142","1,071",868,188,0,6,0,9,71,1836,1632,204,1168,300,42,51,86,38,66,66,131,78,64,11,110,98,132,54,35,43,32,31,89%,11%,3%,97%,91%,74%,16%,0%,1%,0%,1%,6%,26%,4%,4%,7%,3%,6%,6%,11%,7%,5%,1%,9%,8%,11%,5%,3%,4%,3%,3%
4867,"2,212",88,"2,124","2,002",830,"1,153",0,5,1,13,122,3900,3396,504,2084,526,195,119,130,167,109,340,75,151,100,50,23,138,130,109,125,37,10,78,87%,13%,4%,96%,91%,38%,52%,0%,0%,0%,1%,6%,25%,9%,5%,6%,8%,5%,15%,3%,7%,5%,2%,1%,6%,6%,5%,6%,2%,0%,4%
4868,"1,653",63,"1,590","1,486",468,989,5,0,0,24,104,2475,2007,468,1656,397,86,144,136,280,67,60,204,8,162,31,116,70,97,47,54,47,34,13,81%,19%,4%,96%,90%,28%,60%,0%,0%,0%,1%,6%,24%,5%,9%,8%,17%,4%,4%,12%,0%,10%,2%,7%,4%,6%,3%,3%,3%,2%,1%
4869,"1,389",26,"1,363","1,260",435,805,3,2,0,15,103,2160,1770,390,1444,602,188,96,51,94,11,22,85,126,68,84,70,101,204,66,79,17,73,9,82%,18%,2%,98%,91%,31%,58%,0%,0%,0%,1%,7%,42%,14%,7%,4%,7%,1%,2%,6%,9%,5%,6%,5%,7%,15%,5%,6%,1%,5%,1%
4870,"1,612",20,"1,592","1,521","1,374",130,5,5,2,5,71,2934,2565,369,1595,225,64,47,5,98,133,119,117,78,71,135,62,108,163,163,90,59,12,76,87%,13%,1%,99%,94%,85%,8%,0%,0%,0%,0%,4%,14%,4%,3%,0%,6%,8%,7%,7%,5%,4%,8%,4%,7%,10%,10%,6%,4%,1%,5%
4881,"2,149",50,"2,099","1,990","1,599",375,4,5,0,7,109,3006,2760,246,2198,130,58,104,141,100,117,181,133,151,184,188,119,117,186,153,115,54,56,41,92%,8%,2%,98%,93%,74%,17%,0%,0%,0%,0%,5%,6%,3%,5%,7%,5%,5%,8%,6%,7%,9%,9%,6%,5%,9%,7%,5%,3%,3%,2%
4882,"3,441",89,"3,352","3,220","2,362",815,4,13,0,26,132,4752,4323,429,3217,1054,229,377,177,132,146,147,493,89,149,179,114,175,298,154,117,100,143,62,91%,9%,3%,97%,94%,69%,24%,0%,0%,0%,1%,4%,33%,7%,11%,5%,4%,4%,4%,14%,3%,4%,5%,3%,5%,9%,4%,3%,3%,4%,2%
4883,"2,008",35,"1,973","1,903","1,833",63,0,5,0,2,70,2991,2754,237,1874,151,25,54,52,127,125,57,93,135,63,55,194,146,224,206,110,107,62,39,92%,8%,2%,98%,95%,91%,3%,0%,0%,0%,0%,3%,8%,1%,3%,3%,6%,6%,3%,5%,7%,3%,3%,10%,7%,11%,10%,5%,5%,3%,2%
4884,"4,649",91,"4,558","4,310","3,603",654,4,26,0,23,248,6900,6372,528,4411,388,288,133,297,266,373,210,171,139,209,239,405,447,352,464,268,32,52,66,92%,8%,2%,98%,93%,78%,14%,0%,1%,0%,0%,5%,9%,6%,3%,6%,6%,8%,5%,4%,3%,4%,5%,9%,10%,8%,10%,6%,1%,1%,1%
4885,"2,742",54,"2,688","2,562","2,346",136,0,66,0,14,126,3990,3804,186,2636,115,184,117,192,64,153,188,141,99,232,134,158,301,228,181,51,50,104,68,95%,5%,2%,98%,93%,86%,5%,0%,2%,0%,1%,5%,4%,7%,4%,7%,2%,6%,7%,5%,4%,8%,5%,6%,11%,8%,7%,2%,2%,4%,2%
4886,"4,600",134,"4,466","4,274","3,802",382,3,70,0,17,192,6582,6114,468,4929,445,30,438,547,191,91,481,237,227,183,258,545,327,413,298,176,234,62,191,93%,7%,3%,97%,93%,83%,8%,0%,2%,0%,0%,4%,9%,1%,10%,12%,4%,2%,10%,5%,5%,4%,6%,12%,7%,9%,6%,4%,5%,1%,4%
4912,"2,114",47,"2,067","1,987","1,875",52,4,52,0,4,80,2985,2697,288,2057,81,96,58,63,105,94,105,129,233,77,158,137,140,222,138,136,79,82,111,90%,10%,2%,98%,94%,89%,2%,0%,2%,0%,0%,4%,4%,5%,3%,3%,5%,4%,5%,6%,11%,4%,7%,6%,7%,11%,7%,6%,4%,4%,5%
4927,"1,819",47,"1,772","1,646","1,232",390,8,7,0,9,126,3126,2583,543,1836,564,108,115,116,75,85,71,183,101,94,60,98,196,196,108,57,47,26,100,83%,17%,3%,97%,90%,68%,21%,0%,0%,0%,0%,7%,31%,6%,6%,6%,4%,5%,4%,10%,6%,5%,3%,5%,11%,11%,6%,3%,3%,1%,5%
4928,"2,465",59,"2,406","2,281",661,"1,575",9,19,0,17,125,4146,3369,777,2656,819,193,350,191,255,73,148,53,172,197,102,83,56,85,220,205,131,24,118,81%,19%,2%,98%,93%,27%,64%,0%,1%,0%,1%,5%,31%,8%,14%,8%,10%,3%,6%,2%,7%,8%,4%,3%,2%,3%,9%,8%,5%,1%,5%
4929,"1,897",66,"1,831","1,700","1,095",579,2,8,0,16,131,3375,2652,723,1594,437,110,43,41,16,88,242,127,56,122,39,47,103,200,94,100,44,95,46,79%,21%,3%,97%,90%,58%,31%,0%,0%,0%,1%,7%,27%,6%,2%,2%,1%,5%,13%,7%,3%,6%,2%,2%,5%,11%,5%,5%,2%,5%,2%
4940,"1,398",23,"1,375","1,286","1,204",74,0,2,0,6,89,2118,1860,258,1378,261,63,57,100,51,148,88,134,123,63,40,71,114,103,88,80,21,13,21,88%,12%,2%,98%,92%,86%,5%,0%,0%,0%,0%,6%,19%,5%,4%,7%,4%,11%,6%,10%,9%,5%,3%,5%,8%,7%,6%,6%,2%,1%,2%
4950,"3,070",32,"3,038","2,940","2,892",31,0,3,2,12,98,4374,4008,366,3022,154,114,107,88,145,115,131,267,52,134,254,253,305,264,228,129,198,136,102,92%,8%,1%,99%,96%,94%,1%,0%,0%,0%,0%,3%,5%,4%,3%,3%,5%,4%,4%,9%,2%,4%,8%,8%,10%,9%,7%,4%,6%,4%,3%
4962,"5,581",83,"5,498","5,293","5,116",145,3,21,0,8,205,7974,7320,654,5665,190,215,443,405,195,241,256,368,334,356,176,444,627,491,430,160,232,134,184,92%,8%,1%,99%,95%,92%,3%,0%,0%,0%,0%,4%,3%,4%,8%,7%,3%,4%,5%,7%,6%,6%,3%,8%,11%,9%,8%,3%,4%,2%,3%
4970,932,5,927,909,889,4,3,0,1,12,18,1371,1266,105,960,48,52,36,30,21,59,91,66,28,60,41,36,113,103,51,70,49,28,28,92%,8%,1%,99%,98%,95%,0%,0%,0%,0%,1%,2%,5%,6%,4%,3%,2%,6%,10%,7%,3%,6%,4%,4%,12%,11%,5%,8%,5%,3%,3%
4980,"2,355",32,"2,323","2,227","2,172",45,0,5,0,5,96,3438,3195,243,2282,287,180,144,101,100,46,121,100,157,108,270,156,142,193,150,158,112,36,28,93%,7%,1%,99%,95%,92%,2%,0%,0%,0%,0%,4%,13%,8%,6%,4%,4%,2%,5%,4%,7%,5%,11%,7%,6%,8%,6%,7%,5%,2%,1%
4993,"1,678",46,"1,632","1,567","1,454",81,5,6,0,21,65,2499,2244,255,1542,153,73,89,70,75,43,129,145,40,96,88,100,162,64,107,86,73,79,23,90%,10%,3%,97%,93%,87%,5%,0%,0%,0%,1%,4%,10%,4%,5%,4%,4%,3%,8%,9%,2%,6%,5%,6%,10%,4%,6%,5%,4%,5%,1%
4994,"2,797",82,"2,715","2,536","2,193",317,6,10,0,10,179,4365,3681,684,2789,394,206,185,104,163,231,166,265,328,117,158,254,138,117,106,207,80,11,22,84%,16%,3%,97%,91%,78%,11%,0%,0%,0%,0%,6%,14%,7%,7%,4%,6%,8%,6%,9%,12%,4%,6%,9%,5%,4%,4%,7%,3%,0%,1%
5003,"3,680",84,"3,596","3,390","3,190",152,5,12,0,31,206,5475,4929,546,3641,389,62,130,306,205,52,393,288,290,179,308,181,188,264,292,197,123,95,88,90%,10%,2%,98%,92%,87%,4%,0%,0%,0%,1%,6%,11%,2%,4%,8%,6%,1%,11%,8%,8%,5%,8%,5%,5%,7%,8%,5%,3%,3%,2%
5010,"1,476",37,"1,439","1,372","1,158",193,3,4,0,14,67,2586,2289,297,1569,335,65,27,107,84,76,52,98,240,111,70,78,96,122,118,73,70,45,37,89%,11%,3%,97%,93%,78%,13%,0%,0%,0%,1%,5%,21%,4%,2%,7%,6%,5%,4%,7%,16%,8%,5%,5%,7%,8%,8%,5%,5%,3%,3%
5041,"5,026",134,"4,892","4,581","3,111","1,410",7,27,0,26,311,7902,7122,780,4834,1186,292,288,179,163,221,257,409,199,378,155,330,222,533,491,233,154,123,248,90%,10%,3%,97%,91%,62%,28%,0%,1%,0%,1%,6%,25%,6%,6%,4%,3%,4%,5%,8%,4%,8%,3%,7%,4%,11%,10%,5%,3%,2%,5%
5070,"2,076",49,"2,027","1,923","1,520",378,0,8,0,17,104,3387,3015,372,2063,126,18,114,69,119,99,225,97,80,127,162,133,99,224,194,130,72,28,73,89%,11%,2%,98%,93%,73%,18%,0%,0%,0%,1%,5%,6%,1%,5%,3%,6%,5%,11%,5%,4%,6%,8%,6%,5%,11%,9%,6%,3%,1%,4%
5080,"1,781",59,"1,722","1,620",934,663,5,8,0,10,102,3171,2454,717,1781,518,99,14,172,73,85,121,220,203,57,94,135,93,160,76,99,30,12,38,77%,23%,3%,97%,91%,52%,37%,0%,0%,0%,1%,6%,29%,6%,1%,10%,4%,5%,7%,12%,11%,3%,5%,8%,5%,9%,4%,6%,2%,1%,2%
5094,"5,114",101,"5,013","4,685","3,061","1,530",4,44,2,44,328,8373,7254,1119,4939,1163,237,76,313,212,573,200,278,312,262,459,154,304,270,723,318,140,74,141,87%,13%,2%,98%,92%,60%,30%,0%,1%,0%,1%,6%,24%,5%,1%,6%,4%,11%,4%,5%,6%,5%,9%,3%,6%,5%,14%,6%,3%,1%,3%
5100,"1,927",76,"1,851","1,728",599,"1,099",5,5,0,20,123,3015,2505,510,1803,534,124,95,213,78,65,200,143,140,15,100,63,229,155,39,62,54,40,7,83%,17%,4%,96%,90%,31%,57%,0%,0%,0%,1%,6%,30%,6%,5%,11%,4%,3%,10%,7%,7%,1%,5%,3%,12%,8%,2%,3%,3%,2%,0%
5120,"2,073",41,"2,032","1,908","1,201",689,0,9,0,9,124,3420,2934,486,2176,670,74,116,99,177,147,164,66,150,96,137,132,149,104,135,240,79,67,44,86%,14%,2%,98%,92%,58%,33%,0%,0%,0%,0%,6%,31%,4%,6%,5%,9%,7%,8%,3%,7%,5%,7%,6%,7%,5%,7%,12%,4%,3%,2%
5130,"2,247",68,"2,179","2,022",561,"1,444",1,7,0,9,157,3834,3156,678,2079,576,50,36,70,39,149,238,184,15,94,65,117,290,230,226,105,56,73,42,82%,18%,3%,97%,90%,25%,64%,0%,0%,0%,0%,7%,28%,2%,2%,3%,2%,7%,11%,8%,1%,4%,3%,5%,13%,10%,10%,5%,2%,3%,2%
5138,"1,721",42,"1,679","1,562",317,"1,219",5,7,1,13,117,3033,2331,702,1909,688,89,55,241,107,104,241,170,120,63,144,140,150,70,70,50,92,42,31,77%,23%,2%,98%,91%,18%,71%,0%,0%,0%,1%,7%,36%,5%,3%,14%,6%,6%,14%,10%,7%,4%,8%,8%,9%,4%,4%,3%,5%,2%,2%
5140,"1,896",48,"1,848","1,775",256,"1,504",0,6,0,9,73,2961,2475,486,1729,563,247,58,5,99,252,118,19,143,118,91,97,81,165,47,58,47,15,69,84%,16%,3%,97%,94%,14%,79%,0%,0%,0%,0%,4%,33%,13%,3%,0%,5%,13%,6%,1%,8%,6%,5%,5%,4%,9%,2%,3%,2%,1%,4%
5151,"2,566",67,"2,499","2,385",984,"1,339",3,33,4,22,114,4308,3801,507,2786,384,76,197,80,174,118,283,282,328,90,174,157,200,129,78,155,247,27,8,88%,12%,3%,97%,93%,38%,52%,0%,1%,0%,1%,4%,14%,3%,8%,3%,7%,5%,11%,11%,13%,4%,7%,6%,8%,5%,3%,6%,10%,1%,0%
5152,"2,034",93,"1,941","1,838","1,145",625,3,46,2,17,103,3618,3291,327,1994,71,29,169,36,36,115,224,187,200,135,121,99,49,180,206,31,96,33,48,91%,9%,5%,95%,90%,56%,31%,0%,2%,0%,1%,5%,4%,1%,8%,2%,2%,6%,11%,9%,10%,7%,6%,5%,2%,9%,10%,2%,5%,2%,2%
5153,"1,734",76,"1,658","1,571",768,748,3,42,4,6,87,3129,2718,411,1501,464,78,26,67,30,39,127,257,58,54,133,72,121,99,199,68,44,17,31,87%,13%,4%,96%,91%,44%,43%,0%,2%,0%,0%,5%,31%,4%,1%,4%,2%,2%,7%,15%,3%,3%,8%,4%,7%,6%,11%,4%,3%,1%,2%
5161,"1,406",37,"1,369","1,320","1,227",51,0,40,0,2,49,2259,2133,126,1397,81,87,32,35,26,57,196,220,142,93,15,85,67,108,116,61,26,0,31,94%,6%,3%,97%,94%,87%,4%,0%,3%,0%,0%,3%,6%,6%,2%,2%,2%,4%,14%,16%,10%,7%,1%,6%,5%,8%,8%,4%,2%,0%,2%
5162,"1,739",70,"1,669","1,597","1,291",250,4,43,0,9,72,2775,2592,183,1679,31,80,129,49,64,88,86,194,180,59,192,162,102,115,56,68,56,7,5,93%,7%,4%,96%,92%,74%,14%,0%,2%,0%,1%,4%,2%,5%,7%,3%,4%,5%,5%,11%,10%,3%,11%,9%,6%,7%,3%,4%,3%,0%,0%
5170,"1,730",47,"1,683","1,601","1,005",571,3,12,0,10,82,3228,2997,231,1567,281,111,78,26,85,78,137,106,70,73,51,104,110,138,178,50,49,30,93,93%,7%,3%,97%,93%,58%,33%,0%,1%,0%,1%,5%,18%,6%,5%,2%,5%,5%,8%,6%,4%,4%,3%,6%,6%,8%,10%,3%,3%,2%,5%
5190,"3,157",62,"3,095","2,945","2,319",519,0,85,0,22,150,4482,4260,222,3017,99,426,98,58,112,26,136,265,335,80,123,84,229,260,345,167,180,84,94,95%,5%,2%,98%,93%,73%,16%,0%,3%,0%,1%,5%,3%,13%,3%,2%,4%,1%,4%,8%,11%,3%,4%,3%,7%,8%,11%,5%,6%,3%,3%
5211,"4,551",115,"4,436","4,195","2,874","1,025",4,254,1,37,241,5634,5436,198,4295,375,209,217,244,207,186,318,278,288,307,292,166,204,398,371,250,137,177,65,96%,4%,3%,97%,92%,63%,23%,0%,6%,0%,1%,5%,9%,5%,5%,5%,5%,4%,7%,6%,6%,7%,6%,4%,4%,9%,8%,5%,3%,4%,1%
5212,"4,521",178,"4,343","4,135","3,075",709,3,323,1,24,208,7389,6939,450,4820,703,349,455,135,402,52,277,264,442,332,242,438,189,300,314,222,174,128,163,94%,6%,4%,96%,91%,68%,16%,0%,7%,0%,1%,5%,15%,8%,10%,3%,9%,1%,6%,6%,10%,7%,5%,10%,4%,7%,7%,5%,4%,3%,4%
5215,"4,083",78,"4,005","3,865","3,352",295,7,185,0,26,140,5877,5538,339,4115,325,136,116,247,243,338,207,167,268,203,250,253,319,300,353,278,208,132,111,94%,6%,2%,98%,95%,82%,7%,0%,5%,0%,1%,3%,8%,3%,3%,6%,6%,8%,5%,4%,7%,5%,6%,6%,8%,7%,9%,7%,5%,3%,3%
5220,"3,101",71,"3,030","2,833","2,016",782,1,13,3,18,197,5115,4215,900,3065,670,308,136,224,121,213,132,278,165,170,119,93,270,310,290,44,72,57,63,82%,18%,2%,98%,91%,65%,25%,0%,0%,0%,1%,6%,22%,10%,4%,7%,4%,7%,4%,9%,5%,5%,4%,3%,9%,10%,9%,1%,2%,2%,2%
5231,"3,805",96,"3,709","3,544",384,"3,126",3,18,0,13,165,5598,4893,705,3694,372,318,221,63,242,252,349,149,254,77,208,248,176,294,302,228,185,75,55,87%,13%,3%,97%,93%,10%,82%,0%,0%,0%,0%,4%,10%,8%,6%,2%,6%,7%,9%,4%,7%,2%,5%,7%,5%,8%,8%,6%,5%,2%,1%
5232,"3,743",85,"3,658","3,471","1,168","2,232",2,17,0,52,187,5481,4887,594,3774,922,150,120,204,176,395,188,223,161,306,265,246,260,303,373,189,118,37,60,89%,11%,2%,98%,93%,31%,60%,0%,0%,0%,1%,5%,24%,4%,3%,5%,5%,11%,5%,6%,4%,8%,7%,7%,7%,8%,10%,5%,3%,1%,2%
5233,"3,807",85,"3,722","3,512","1,843","1,609",1,44,0,15,210,5484,5133,351,3997,184,250,189,180,326,120,308,87,162,335,516,200,197,355,305,188,136,90,53,94%,6%,2%,98%,92%,48%,42%,0%,1%,0%,0%,6%,5%,7%,5%,5%,9%,3%,8%,2%,4%,9%,14%,5%,5%,9%,8%,5%,4%,2%,1%
5234,"4,921",128,"4,793","4,536","2,324","2,095",11,56,1,49,257,7656,7125,531,5016,827,194,532,343,125,13,375,516,411,361,348,93,314,342,285,273,170,231,90,93%,7%,3%,97%,92%,47%,43%,0%,1%,0%,1%,5%,16%,4%,11%,7%,3%,0%,8%,10%,8%,7%,7%,2%,6%,7%,6%,6%,3%,5%,2%
5236,"4,852",161,"4,691","4,500","2,541","1,892",5,47,0,15,191,6825,6432,393,4873,755,140,387,235,351,211,264,260,324,231,207,342,381,323,462,240,260,151,104,94%,6%,3%,97%,93%,52%,39%,0%,1%,0%,0%,4%,15%,3%,8%,5%,7%,4%,5%,5%,7%,5%,4%,7%,8%,7%,10%,5%,5%,3%,2%
5238,"4,687",106,"4,581","4,397","3,657",701,4,20,0,15,184,7137,6618,519,4865,543,357,241,382,181,75,132,429,300,373,149,462,302,316,536,247,183,90,260,93%,7%,2%,98%,94%,78%,15%,0%,0%,0%,0%,4%,11%,8%,5%,8%,4%,2%,3%,9%,6%,8%,3%,10%,6%,7%,11%,5%,4%,2%,6%
5240,"2,492",63,"2,429","2,326","2,070",232,0,11,0,13,103,3906,3507,399,2652,275,125,185,108,170,138,260,251,138,149,125,85,182,179,226,83,98,58,100,90%,10%,3%,97%,93%,83%,9%,0%,0%,0%,1%,4%,10%,5%,7%,4%,7%,6%,10%,10%,6%,6%,5%,3%,7%,7%,9%,3%,4%,2%,4%
5251,"2,003",62,"1,941","1,875","1,822",40,1,10,0,2,66,3105,2901,204,1975,46,101,189,89,49,39,29,151,120,272,89,122,111,134,133,139,100,26,91,93%,7%,3%,97%,94%,91%,2%,0%,0%,0%,0%,3%,2%,5%,9%,4%,2%,2%,1%,8%,6%,14%,4%,6%,6%,7%,7%,7%,5%,1%,5%
5252,"2,536",39,"2,497","2,428","2,329",59,0,38,0,2,69,4530,4188,342,2340,101,87,122,164,50,44,141,117,123,267,129,141,147,186,142,245,164,66,116,92%,8%,2%,98%,96%,92%,2%,0%,1%,0%,0%,3%,4%,3%,5%,6%,2%,2%,6%,5%,5%,11%,5%,6%,6%,7%,6%,10%,6%,3%,5%
5253,"2,219",43,"2,176","2,107","2,062",19,0,26,0,0,69,2967,2775,192,2223,109,137,171,133,143,23,99,143,201,140,143,203,163,157,115,145,50,53,58,94%,6%,2%,98%,95%,93%,1%,0%,1%,0%,0%,3%,5%,6%,8%,6%,6%,1%,4%,6%,9%,6%,6%,9%,7%,7%,5%,7%,2%,2%,3%
5509,"1,467",51,"1,416","1,336",555,741,12,10,0,18,80,2445,1854,591,1674,474,82,87,100,64,53,115,200,111,76,88,61,125,213,139,135,37,25,29,76%,24%,3%,97%,91%,38%,51%,1%,1%,0%,1%,5%,28%,6%,6%,7%,4%,4%,8%,14%,8%,5%,6%,4%,9%,15%,9%,9%,3%,2%,2%
5512,"3,391",116,"3,275","3,057","1,607","1,425",7,4,0,14,218,5118,4485,633,3084,1090,114,166,267,161,224,227,211,187,167,173,124,431,200,233,121,27,95,92,88%,12%,3%,97%,90%,47%,42%,0%,0%,0%,0%,6%,35%,3%,5%,8%,5%,7%,7%,6%,6%,5%,5%,4%,13%,6%,7%,4%,1%,3%,3%
5513,"2,347",64,"2,283","2,171","1,876",282,1,9,0,3,112,3519,3276,243,2175,173,136,78,176,124,66,63,91,225,97,122,137,198,103,203,133,122,12,90,93%,7%,3%,97%,93%,80%,12%,0%,0%,0%,0%,5%,8%,6%,3%,7%,5%,3%,3%,4%,10%,4%,5%,6%,8%,4%,9%,6%,5%,1%,4%
5519,"1,330",77,"1,253","1,194",648,531,1,0,1,13,59,2511,2136,375,1394,751,16,176,213,37,20,95,141,22,120,48,191,65,72,125,44,30,0,38,85%,15%,6%,94%,90%,49%,40%,0%,0%,0%,1%,4%,54%,1%,13%,16%,3%,2%,7%,11%,2%,9%,4%,14%,5%,5%,9%,3%,2%,0%,3%
5520,"2,294",88,"2,206","2,080",941,"1,099",3,6,1,30,126,3243,2763,480,1692,373,125,22,137,82,48,165,123,92,87,41,166,148,101,164,80,29,20,107,85%,15%,4%,96%,91%,41%,48%,0%,0%,0%,1%,5%,22%,5%,1%,6%,4%,2%,7%,5%,4%,4%,2%,7%,6%,4%,7%,3%,1%,1%,5%
5521,"1,175",16,"1,159","1,108",420,680,0,7,1,0,51,1419,1035,384,851,575,55,130,103,7,21,33,249,11,31,28,79,52,91,126,96,47,53,107,73%,27%,1%,99%,94%,36%,58%,0%,1%,0%,0%,4%,68%,5%,11%,9%,1%,2%,3%,21%,1%,3%,2%,7%,4%,8%,11%,8%,4%,5%,9%
5522,969,28,941,865,661,190,4,4,0,6,76,1545,1290,255,818,203,26,24,0,5,99,44,15,133,43,18,50,41,160,58,49,5,10,38,83%,17%,3%,97%,89%,68%,20%,0%,0%,0%,1%,8%,25%,3%,2%,0%,1%,10%,5%,2%,14%,4%,2%,5%,4%,17%,6%,5%,1%,1%,4%
5523,"1,862",72,"1,790","1,651",444,"1,187",6,2,2,10,139,2730,2115,615,1715,840,119,132,80,118,125,50,113,92,129,106,171,155,78,59,80,30,38,40,77%,23%,4%,96%,89%,24%,64%,0%,0%,0%,1%,7%,49%,6%,7%,4%,6%,7%,3%,6%,5%,7%,6%,9%,8%,4%,3%,4%,2%,2%,2%
5524,"2,892",113,"2,779","2,609","1,887",691,15,3,0,13,170,4365,3831,534,3299,1023,216,294,244,302,107,302,373,189,151,153,91,112,235,211,45,100,70,147,88%,12%,4%,96%,90%,65%,24%,1%,0%,0%,0%,6%,31%,7%,10%,8%,10%,4%,10%,13%,7%,5%,5%,3%,4%,8%,7%,2%,3%,2%,5%
5604,"1,553",36,"1,517","1,445",710,691,1,35,1,7,72,2970,2583,387,1385,352,17,36,34,33,139,222,303,165,120,41,24,16,83,35,72,69,43,26,87%,13%,2%,98%,93%,46%,44%,0%,2%,0%,0%,5%,25%,1%,2%,2%,2%,9%,14%,20%,11%,8%,3%,2%,1%,5%,2%,5%,4%,3%,2%
5605,"2,193",98,"2,095","2,006","1,732",174,0,91,0,9,89,4086,3801,285,2322,196,76,29,42,70,123,204,614,200,225,104,132,113,102,103,62,57,13,53,93%,7%,4%,96%,91%,79%,8%,0%,4%,0%,0%,4%,8%,3%,1%,2%,3%,6%,9%,28%,9%,10%,5%,6%,5%,5%,5%,3%,3%,1%,2%
5614,"4,012",92,"3,920","3,749",787,"2,861",7,54,1,39,171,7608,6813,795,3585,576,178,27,118,199,164,221,117,237,189,170,215,383,433,445,213,251,14,11,90%,10%,2%,98%,93%,20%,71%,0%,1%,0%,1%,4%,16%,4%,1%,3%,5%,4%,6%,3%,6%,5%,4%,5%,10%,11%,11%,5%,6%,0%,0%
5615,"2,588",69,"2,519","2,404",680,"1,658",2,45,0,19,115,5022,4290,732,2619,554,66,152,0,158,173,108,143,85,153,93,130,128,380,177,296,246,61,70,85%,15%,3%,97%,93%,26%,64%,0%,2%,0%,1%,4%,21%,3%,6%,0%,6%,7%,4%,6%,3%,6%,4%,5%,5%,15%,7%,11%,10%,2%,3%
5619,"1,898",27,"1,871","1,815",65,"1,720",6,14,0,10,56,3243,2748,495,1883,751,258,20,81,148,144,65,140,24,78,5,112,187,147,213,67,24,46,124,85%,15%,1%,99%,96%,3%,91%,0%,1%,0%,1%,3%,40%,14%,1%,4%,8%,8%,3%,7%,1%,4%,0%,6%,10%,8%,11%,4%,1%,2%,7%
5620,"3,449",133,"3,316","3,206","1,801",312,4,"1,075",0,14,110,7083,6702,381,2470,958,76,14,0,137,760,504,250,119,31,43,23,96,94,129,112,31,9,107,95%,5%,4%,96%,93%,52%,9%,0%,31%,0%,0%,3%,39%,2%,0%,0%,4%,22%,15%,7%,3%,1%,1%,1%,3%,3%,4%,3%,1%,0%,3%
5623,"3,115",67,"3,048","2,916","1,181","1,647",10,58,1,19,132,4716,3891,825,2882,784,114,107,271,240,178,92,168,49,237,91,297,126,189,316,198,250,73,81,83%,17%,2%,98%,94%,38%,53%,0%,2%,0%,1%,4%,27%,4%,3%,9%,8%,6%,3%,5%,2%,8%,3%,10%,4%,6%,10%,6%,8%,2%,3%
5624,"2,363",105,"2,258","2,118",840,"1,236",7,21,0,14,140,3906,3201,705,3050,1141,262,184,307,171,231,192,268,196,193,140,183,205,184,111,60,87,66,10,82%,18%,4%,96%,90%,36%,52%,0%,1%,0%,1%,6%,37%,11%,8%,13%,7%,10%,8%,11%,8%,8%,6%,8%,9%,8%,5%,3%,4%,3%,0%
5625,"2,919",59,"2,860","2,639",983,"1,564",7,18,2,65,221,3879,3369,510,2714,596,251,211,214,117,250,424,278,132,98,173,123,62,156,129,71,10,0,15,87%,13%,2%,98%,90%,34%,54%,0%,1%,0%,2%,8%,22%,9%,7%,7%,4%,9%,15%,10%,5%,3%,6%,4%,2%,5%,4%,2%,0%,0%,1%
5626,"2,398",66,"2,332","2,183","1,379",766,3,21,5,9,149,4053,3357,696,2884,678,181,282,196,44,112,357,289,208,208,141,192,168,302,127,49,51,21,0,83%,17%,3%,97%,91%,58%,32%,0%,1%,0%,0%,6%,24%,8%,12%,8%,2%,5%,15%,12%,9%,9%,6%,8%,7%,13%,5%,2%,2%,1%,0%
5627,"1,959",91,"1,868","1,775","1,086",421,7,250,2,9,93,4257,3972,285,1990,379,22,21,96,22,275,459,418,153,22,58,95,53,59,97,78,26,34,14,93%,7%,5%,95%,91%,55%,21%,0%,13%,0%,0%,5%,19%,1%,1%,5%,1%,14%,23%,21%,8%,1%,3%,5%,3%,3%,5%,4%,1%,2%,1%
