"fid","updatepknm","sum_Total","sum_Hispanic.or.Latino","sum_Not.Hispanic.or.Latino","sum_Population.of.one.race","sum_White.alone","sum_Black.or.African.American.alone","sum_American.Indian.and.Alaska.Native.alone","sum_Asian.alone","sum_Native.Hawaiian.and.Other.Pacific.Islander.alone","sum_Some.Other.Race.alone","sum_Population.of.two.or.more.races","sum_Total.parcels","sum_Occupied","sum_Vacant","sum_Poverty.status.determined.total","sum_Below.poverty.level.","sum_Under.5.years","sum_X5.to.9.years","sum_X10.to.14.years","sum_X15.to.19.years","sum_X20.to.24.years","sum_X25.to.29.years","sum_X30.to.34.years","sum_X35.to.39.years","sum_X40.to.44.years","sum_X45.to.49.years","sum_X50.to.54.years","sum_X55.to.59.years","sum_X60.to.64.years","sum_X65.to.69.years","sum_X70.to.74.years","sum_X75.to.79.years","sum_X80.to.84.years","sum_X85.years.and.over","sum_Total_pct","sum_Hispanic.or.Latino_pct","sum_Not.Hispanic.or.Latino_pct","sum_Population.of.one.race_pct","sum_White.alone_pct","sum_Black.or.African.American.alone_pct","sum_American.Indian.and.Alaska.Native.alone_pct","sum_Asian.alone_pct","sum_Native.Hawaiian.and.Other.Pacific.Islander.alone_pct","sum_Some.Other.Race.alone_pct","sum_Population.of.two.or.more.races_pct","sum_Poverty.status.determined.total_pct","sum_Below.poverty.level._pct","sum_Under.5.years_pct","sum_X5.to.9.years_pct","sum_X10.to.14.years_pct","sum_X15.to.19.years_pct","sum_X20.to.24.years_pct","sum_X25.to.29.years_pct","sum_X30.to.34.years_pct","sum_X35.to.39.years_pct","sum_X40.to.44.years_pct","sum_X45.to.49.years_pct","sum_X50.to.54.years_pct","sum_X55.to.59.years_pct","sum_X60.to.64.years_pct","sum_X65.to.69.years_pct","sum_X70.to.74.years_pct","sum_X75.to.79.years_pct","sum_X80.to.84.years_pct","sum_X85.years.and.over_pct","sum_Total.parcels_pct","sum_Vacant_pct","sum_Occupied_pct"
15,"Arsenal Park",14888404.9702348,502853.031289337,14385551.9389454,13876783.785024,12348699.3895164,829337.154526553,9741.85802662454,589393.795459844,1359.35622023644,98252.2312743536,508768.153921471,27245901.9204466,24170204.5987263,3075697.32172025,14139579.9103992,2020799.49384393,378155.001025031,183274.062195242,171956.662395392,294385.64134972,1026709.77761786,3018392.81270989,2618603.06652871,1477333.84439463,620722.580967484,426589.664754731,656541.023899649,613194.443322546,561965.631185247,788255.442582114,663993.685031045,431347.736191424,347135.910734833,629174.880570123,100,3.37748088055538,96.6225191194446,93.2053085120047,82.941721522246,5.57035596616683,0.0654325164186537,3.95874371121804,0.00913030121731705,0.659924494737895,3.41721060743989,94.9704144847438,13.5729750627011,2.5399295745988,1.23098520332868,1.15497034597844,1.97728125973374,6.89603607418307,20.2734464755917,17.5882041881845,9.92271400024478,4.1691677665166,2.86524759104536,4.40974721746366,4.11860400458247,3.77451870975259,5.294425051965,4.45980403111358,2.89720582596849,2.33158562941319,4.22593878812393,100,11.2886603302793,88.7113396697207
16,"August Wilson Park",5907983.55648152,165971.2647259,5742012.29175562,5526049.04700424,1318762.61616336,3719062.36653222,18219.2463906354,439610.571672887,3038.06355629774,27356.1826888317,215963.244751382,11114967.4184173,9948970.85131532,1165996.567102,5912428.98855685,2186861.93831415,315929.001216833,275281.498696264,295995.793185904,293483.679790448,681264.403603144,693298.031778123,745854.205071126,339239.547602723,203075.520855982,249413.407699298,253516.218764675,272546.450329728,290043.798024824,357250.742774516,159529.54869571,259007.812935455,85850.877432224,161394.246293988,100,2.80927093210705,97.1907290678929,93.535281440344,22.3217042423312,62.9497751809434,0.308383498641384,7.44095794225087,0.0514230198383803,0.463037556338827,3.65544762754889,100.075244489644,37.0153694133931,5.34749290001381,4.65948315638521,5.01009846009428,4.9675778035718,11.5312508420194,11.7349350273245,12.6245138961645,5.74205300944941,3.43730680552069,4.22163341036507,4.2910786115264,4.61318904706028,4.90935350872165,6.04691498138285,2.70023684342679,4.38403070115696,1.45313331717112,2.73179917904351,100,10.4903282502652,89.5096717497348
17,"Banksville Park",2125324.98340581,81020.1388549466,2044304.84455087,1940571.15065152,1630239.72487639,97440.3523039863,3055.3621432577,197551.788412353,0,12283.9229155301,103733.693899346,3298376.7153248,3131339.92344237,167036.791882432,1893640.92554464,97921.2824762172,130636.402382446,106371.137673149,28877.3213895322,61405.376575115,99294.6430906473,348561.898315078,174324.379778849,112871.304324048,89321.7333873143,88596.4281774431,67549.740892207,113015.475883662,196225.947524183,122638.105585545,59450.3448501502,55981.5117492404,35977.6654118774,36746.2220896327,100,3.81212941491482,96.1878705850852,91.3070314329893,76.7054327034706,4.58472718594965,0.143759762253465,9.29513321279354,0,0.577978568522036,4.88083915209586,89.0988879503076,4.60735573339468,6.14665537752738,5.00493517479339,1.35872497688596,2.88922292141475,4.67197458581268,16.400404692769,8.20224582781198,5.3107785964654,4.20273295071218,4.16860615996092,3.17832526411839,5.31756210302273,9.23275024084706,5.77032249388132,2.79723549642189,2.63402125257713,1.69280772083258,1.72896956355104,100,5.06421207457449,94.9357879254255
18,"Baxter Park",3717272.39361515,79127.4849987806,3638144.90861637,3453140.33381111,121661.081145844,3267903.82172882,2741.4033670828,27673.8669193782,6175.13156881629,26985.0290811675,185004.574805258,6175606.11241475,4686140.28653256,1489465.82588219,4133745.92060847,1126123.68239361,334772.014456581,272999.776789778,516473.675440376,456623.188922175,59888.843479041,147254.48656483,262726.488156098,284921.03533775,298015.928256634,121833.739483394,50487.5120104415,238261.386154303,351979.012426088,329324.077686815,185457.988369999,115478.975584148,86901.7685317285,145226.330011038,100,2.12864371022934,97.8713562897707,92.8944658385079,3.27285892082623,87.9113359392717,0.0737477127528098,0.744467017453747,0.166119964181877,0.725936284021517,4.97689045126275,111.203739809562,30.2943546544466,9.00585103829333,7.34408856501039,13.8938883340236,12.2838237441647,1.61109644754329,3.96135851700717,7.06772225267541,7.66478764986757,8.01705919556799,3.27750367965119,1.35818704319758,6.40957564916536,9.46874415312297,8.85929366522799,4.98908793147752,3.10655134615629,2.33778317351703,3.90679817439479,100,24.11853668724,75.88146331276
19,"Beechview Senior Center Park",4635698.47930408,483854.274810328,4151844.20449375,3912538.13472091,3237670.53001335,547090.861392086,4546.75885139691,94209.8390882807,563.231794562494,28456.9135812326,239306.069772841,7031430.14154854,6346392.89117796,685037.250370586,4270432.13253339,335628.137777023,134617.333840017,229240.714071681,191526.664808067,155752.234091937,178477.035960092,406263.611738307,422884.103990064,255380.876262528,392705.582919076,200306.435134929,251152.360981478,319089.893260226,280962.741598393,275103.420206211,170623.264197119,123148.175474282,42492.3077559834,251747.504882108,100,10.4375700225215,89.5624299774785,84.4001859091635,69.8421293892996,11.801692103888,0.0980814190503495,2.03226848141391,0.0121498798309904,0.613864635680632,5.16224406831496,92.1205758225776,7.2400769652173,2.90392773475262,4.94511701084786,4.13156001545682,3.35984393263038,3.850057046568,8.7638057900456,9.12233843245017,5.50900532902793,8.47133575818826,4.3209547823093,5.41778897188286,6.88331854810644,6.06085022252293,5.93445456891557,3.68063766353358,2.65651823612068,0.916632260395901,5.43062725080215,100,9.74250240107938,90.2574975989206
20,"Blair Street Park",351378.000897337,7557.72907227017,343820.271825067,328930.41753343,133219.075139568,185784.772866104,1128.01926451794,6542.51173420403,112.801926451794,2143.23660258408,14889.8542916368,531973.885146659,438912.295823929,93061.5893227297,325095.152034069,88436.7103382062,12859.4196155045,12069.8061303419,30569.3220684361,27072.4623484305,20078.7429084193,10377.777233565,18950.7236439013,5527.29439613789,26734.0565690751,10264.9753071132,33502.1721561827,14213.042732926,21319.564099389,35645.4087587668,22334.7814374551,28200.4816129484,8234.54063098093,9136.95604259528,100,2.15088282504013,97.8491171749599,93.6115569823435,37.9133226324238,52.8731942215088,0.321027287319422,1.86195826645265,0.0321027287319422,0.609951845906902,4.23756019261637,92.5200642054575,25.1685393258427,3.65971107544141,3.43499197431782,8.69983948635634,7.70465489566613,5.71428571428571,2.95345104333868,5.39325842696629,1.57303370786517,7.60834670947031,2.92134831460674,9.53451043338684,4.04494382022472,6.06741573033708,10.1444622792937,6.35634028892456,8.02568218298555,2.34349919743178,2.60032102728732,100,17.4936386768448,82.5063613231552
21,"Bon Air Park",1971520.96485435,87693.8503531928,1883827.11450116,1762119.43079803,703060.198823121,1016541.03329668,6453.74179112116,22946.6066958167,14.4092149228435,13103.4409763657,121707.683703125,3207766.92913079,2622289.66207766,585477.267053133,2471859.84562017,901495.805904427,199560.907968043,154756.119478452,237209.257120449,149099.412738824,200563.533844973,155304.791028045,223770.924658052,163893.105058845,152464.328902817,119551.680643364,143875.556360221,151752.126539591,147228.464170209,101495.625347057,51228.2737769914,65010.3330655492,48017.9509101922,9997.5378953009,100,4.44803032361725,95.5519696763827,89.3786808363061,35.660802565955,51.5612591201526,0.327348372458111,1.16390376287538,0.000730867953205256,0.664636146911771,6.17328884007666,125.378319058493,45.725905124779,10.1221803635644,7.84958020925153,12.031789737421,7.56265925631884,10.1730358144982,7.87741007052992,11.3501671373088,8.3130287722278,7.7333354106169,6.0639314911975,7.29769345216423,7.69721089680635,7.46776051560199,5.14808755049455,2.59841384850686,3.29747105024328,2.43557901570373,0.507097721684106,100,18.2518643027404,81.7481356972596
22,"Boundary Street Park",13532926.116591,330086.246387263,13202839.8702038,12747375.3876651,11368863.6725685,419654.676890427,12448.3930737071,871382.089045602,4495.86285029234,70530.6932366448,455464.482538651,18847676.6672995,16837048.4094913,2010628.25780821,12302087.4829638,5663230.42496994,256557.672055401,456172.240167014,278390.733950952,2089344.33808644,5380071.8290303,325454.928146435,319546.157605533,350275.773683532,667348.574216931,457693.260295048,422470.851359245,451225.078648789,627441.513621874,507492.412565356,328354.589648544,161219.548339968,136148.003054748,335092.202278257,100,2.43913432722126,97.5608656727788,94.1952632996138,84.008909637292,3.10098993576814,0.0919859679012484,6.43897765744326,0.0332216610920569,0.52117844011707,3.36560237316498,90.9048595771298,41.8477894298629,1.89580338978477,3.37083226670215,2.05713628783986,15.4389695183879,39.7554215746029,2.40491173411074,2.36124955425403,2.58832251551349,4.93129548234788,3.38207166988023,3.12179973288486,3.33427578604451,4.63640685108482,3.75005677407181,2.42633844905123,1.19131329729434,1.0060499989565,2.47612526212969,100,10.6677777494805,89.3322222505195
23,"Brighton Heights Park",5172999.23689055,144499.480124894,5028499.75676566,4814028.3942117,3716144.03695588,1001371.77351656,9701.64101566654,55439.8846588365,0,31371.0580647563,214471.362553961,7834982.63542759,7366173.671489,468808.963938594,4646355.16608717,277222.30744508,235294.482329743,140896.977276234,279323.594298197,51216.5113846688,202036.965755232,476558.302245814,334520.055632394,498040.504736055,350742.522988397,317577.025308529,469135.589186546,481258.135300639,280277.855244791,244523.843569728,155584.584154366,82427.1311508184,86304.5546594883,93525.073281834,100,2.79334044927776,97.2066595507223,93.0606824737398,71.8373204166491,19.3576632754053,0.187543832337739,1.07171646698639,0,0.606438482361215,4.14597707698248,89.819366934221,5.35902471177853,4.54851183142986,2.72369994318666,5.3996449932998,0.990073824473529,3.90560594547226,9.21241779521834,6.46665580862276,9.62769337339828,6.78025468256641,6.13912762723355,9.06892825038457,9.30327095099128,5.41809195033371,4.72692595479115,3.00762820618328,1.59341085076913,1.66836588809097,1.80794678288124,100,5.98353545569803,94.016464544302
24,"Brighton Heights Senior Center",6848683.16957456,216842.658519954,6631840.5110546,6314319.20804354,4012297.4457679,2179486.18343428,5373.80051592376,79731.7113747847,0,37430.066950646,317521.303011066,10473659.76932,9502083.72693598,971576.042383971,7243338.5801833,1268330.88330208,655794.839406496,188436.6106904,310211.713883069,266594.830415907,280655.645795679,654337.556084822,1060021.75800924,674848.404263802,296866.315106655,296970.242374881,442556.13818856,620391.971113233,495811.780315794,377216.105921102,471867.649732771,113444.643527627,33254.3317212859,44730.103408374,100,3.16619491880254,96.8338050811975,92.197566330635,58.5849475939058,31.8234342204163,0.0784647264717545,1.16419039106663,0,0.546529398774497,4.63623875056248,105.762500627303,18.5193394393928,9.57548806345548,2.75142835527177,4.5295089026923,3.89264364863981,4.09795049422783,9.5542097638818,15.4777456010582,9.85369577704855,4.3346481032367,4.33616558135116,6.46191577608125,9.05855849587758,7.23951989074994,5.50786328672487,6.88990332957808,1.6564446145152,0.485558039376373,0.65311976479053,100,9.27637582070374,90.7236241792963
27,"Bud Hammer Park",2460626.14964697,87536.3749549029,2373089.77469206,2255662.93024036,2108345.61629187,75793.690509733,2135.03353548544,60848.4557613349,0,8540.13414194175,117426.844451699,3948744.52388031,3567641.03779616,381103.48608415,2625023.73187934,323457.580626044,61915.9725290777,52308.3216193932,145182.28041301,68321.073135534,155857.448090437,350145.499819612,292499.594361505,209233.286477573,152654.897787209,84333.8246516747,137709.663038811,200693.152335631,197490.602032403,156924.96485818,167600.132535607,29890.4694967961,40565.6371742233,121696.91152267,100,3.55748373101952,96.4425162689805,91.6702819956616,85.6832971800434,3.08026030368764,0.086767895878525,2.47288503253796,0,0.3470715835141,4.77223427331887,106.681127982646,13.1453362255965,2.51626898047722,2.12581344902386,5.9002169197397,2.7765726681128,6.33405639913232,14.2299349240781,11.8872017353579,8.50325379609545,6.20390455531453,3.42733188720174,5.59652928416486,8.15618221258135,8.02603036876356,6.37744034707158,6.81127982646421,1.21475054229935,1.64859002169197,4.94577006507592,100,9.65125709651257,90.3487429034874
