"﻿STATEFP,COUNTYFP,TRACTCE,POPULATION,LATITUDE,LONGITUDE"
"42,003,426800,5150,+40.542289,-079.948928"
"42,003,427000,3376,+40.483511,-079.973943"
"42,003,427100,5340,+40.517747,-079.979317"
"42,003,427200,4922,+40.494669,-079.964476"
"42,003,428100,1187,+40.473168,-079.982352"
"42,003,428200,2068,+40.487828,-079.994604"
"42,003,429100,2607,+40.507761,-080.010218"
"42,003,429201,4941,+40.545002,-080.004034"
"42,003,429202,4605,+40.523988,-079.995059"
"42,003,429300,6546,+40.537834,-080.047865"
"42,003,429400,4498,+40.532557,-080.028101"
"42,003,429500,4412,+40.542059,-080.020712"
"42,003,429600,3588,+40.508819,-080.045324"
"42,003,429700,2370,+40.498433,-080.034460"
"42,003,430100,2134,+40.514992,-080.024301"
"42,003,430200,4551,+40.519949,-080.037648"
"42,003,431100,3253,+40.490903,-080.050854"
"42,003,431400,1893,+40.502381,-080.055144"
"42,003,431500,3165,+40.495912,-080.056745"
"42,003,432300,2183,+40.502864,-080.066295"
"42,003,432400,2579,+40.498936,-080.067668"
"42,003,434000,1918,+40.506802,-080.081158"
"42,003,435000,2525,+40.512228,-080.096753"
"42,003,437000,7178,+40.544291,-080.092880"
"42,003,439000,1505,+40.590102,-080.173968"
"42,003,445500,3907,+40.539064,-080.181036"
"42,003,446000,1669,+40.552184,-080.192155"
"42,003,447000,1624,+40.576475,-080.209301"
"42,003,448000,1162,+40.566410,-080.209728"
"42,003,449000,2488,+40.555723,-080.231109"
"42,003,450700,3033,+40.512557,-080.159719"
"42,003,450800,2526,+40.518443,-080.168289"
"42,003,451101,3792,+40.535890,-080.220713"
"42,003,451102,6047,+40.521026,-080.202770"
"42,003,451104,3966,+40.533904,-080.254671"
"42,003,451105,5625,+40.513964,-080.229237"
"42,003,451300,7810,+40.493061,-080.173893"
"42,003,452000,6372,+40.468947,-080.258234"
"42,003,453003,2184,+40.427975,-080.195737"
"42,003,453004,7258,+40.446082,-080.211903"
"42,003,455000,1475,+40.400685,-080.186242"
"42,003,456001,4679,+40.369023,-080.150671"
"42,003,456003,8059,+40.356327,-080.161724"
"42,003,456004,5620,+40.327035,-080.126343"
"42,003,457100,1406,+40.360862,-080.114191"
"42,003,457200,3398,+40.355685,-080.102954"
"42,003,458001,4333,+40.386546,-080.127699"
"42,003,458002,4602,+40.409768,-080.125894"
"42,003,459101,1733,+40.495809,-080.136659"
"42,003,459102,6426,+40.473626,-080.137837"
"42,003,459201,7344,+40.442616,-080.130591"
"42,003,459202,677,+40.428562,-080.101481"
"42,003,460001,4925,+40.485860,-080.103951"
"42,003,460002,3776,+40.470637,-080.105070"
"42,003,461000,1108,+40.513227,-080.135166"
"42,003,462100,2524,+40.482824,-080.075791"
"42,003,462600,3902,+40.473323,-080.074501"
"42,003,463900,2712,+40.467107,-080.072170"
