"GEO_ID","NAME","H1_001N","H1_002N","H1_003N",
"Geography","Geographic Area Name"," !!Total:"," !!Total:!!Occupied"," !!Total:!!Vacant",
"1000000US420030201001024","Block 1024, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","2","2","0",
"1000000US420030201001025","Block 1025, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001026","Block 1026, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","1","1","0",
"1000000US420030201001027","Block 1027, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","1","1","0",
"1000000US420030201001028","Block 1028, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001029","Block 1029, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","5","5","0",
"1000000US420030201001030","Block 1030, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","1","0","1",
"1000000US420030201001031","Block 1031, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001032","Block 1032, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","1","0","1",
"1000000US420030201001033","Block 1033, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001034","Block 1034, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","111","96","15",
"1000000US420030201001035","Block 1035, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","37","22","15",
"1000000US420030201001036","Block 1036, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001037","Block 1037, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001038","Block 1038, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001039","Block 1039, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201001040","Block 1040, Block Group 1, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002000","Block 2000, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002001","Block 2001, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002002","Block 2002, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002003","Block 2003, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002004","Block 2004, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002005","Block 2005, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002006","Block 2006, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002007","Block 2007, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002008","Block 2008, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002009","Block 2009, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","208","204","4",
"1000000US420030201002010","Block 2010, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002011","Block 2011, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002012","Block 2012, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","6","0","6",
"1000000US420030201002013","Block 2013, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002014","Block 2014, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","192","191","1",
"1000000US420030201002015","Block 2015, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","51","3","48",
"1000000US420030201002016","Block 2016, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","155","138","17",
"1000000US420030201002017","Block 2017, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","4","0","4",
"1000000US420030201002018","Block 2018, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002019","Block 2019, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","332","254","78",
"1000000US420030201002020","Block 2020, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201002021","Block 2021, Block Group 2, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003000","Block 3000, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003001","Block 3001, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","3","0","3",
"1000000US420030201003002","Block 3002, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003003","Block 3003, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003004","Block 3004, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003005","Block 3005, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003006","Block 3006, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","93","47","46",
"1000000US420030201003007","Block 3007, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003008","Block 3008, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003009","Block 3009, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003010","Block 3010, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","245","233","12",
"1000000US420030201003011","Block 3011, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003012","Block 3012, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003013","Block 3013, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003014","Block 3014, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
"1000000US420030201003015","Block 3015, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","53","52","1",
"1000000US420030201003016","Block 3016, Block Group 3, Census Tract 201, Allegheny County, Pennsylvania","0","0","0",
